iter	Passed	Remaining
0	2	221
1	4	222
2	6	219
3	8	209
4	11	216
5	13	210
6	16	213
7	18	210
8	20	209
9	23	208
10	25	204
11	27	200
12	30	201
13	32	201
14	35	199
15	37	196
16	39	193
17	42	191
18	44	190
19	47	189
20	49	185
21	51	183
22	54	181
23	56	178
24	59	177
25	61	174
26	63	170
27	64	167
28	66	162
29	68	159
30	70	156
31	71	151
32	73	148
33	74	145
34	76	141
35	77	138
36	78	134
37	80	131
38	81	128
39	83	124
40	84	121
41	85	118
42	86	115
43	88	112
44	89	109
45	90	106
46	92	104
47	93	101
48	95	99
49	96	96
50	97	94
51	99	91
52	100	88
53	101	86
54	103	84
55	104	82
56	106	80
57	107	77
58	108	75
59	109	73
60	110	70
61	112	68
62	113	66
63	114	64
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	123	52
70	124	50
71	125	48
72	126	46
73	128	45
74	129	43
75	131	41
76	132	39
77	134	37
78	135	36
79	136	34
80	138	32
81	139	30
82	140	28
83	141	26
84	143	25
85	144	23
86	146	21
87	147	20
88	148	18
89	154	17
90	156	15
91	158	13
92	159	12
93	161	10
94	162	8
95	163	6
96	165	5
97	166	3
98	168	1
99	170	0
