iter	Passed	Remaining
0	0	839
1	1	761
2	2	725
3	2	705
4	3	700
5	4	692
6	4	683
7	5	676
8	6	674
9	6	673
10	7	671
11	8	668
12	8	666
13	9	666
14	10	668
15	10	665
16	11	665
17	12	673
18	13	678
19	13	683
20	14	684
21	15	683
22	15	679
23	16	677
24	17	674
25	17	672
26	18	669
27	19	666
28	19	664
29	20	662
30	21	660
31	21	659
32	22	657
33	23	657
34	23	657
35	24	655
36	25	655
37	25	655
38	26	653
39	27	654
40	28	656
41	28	657
42	29	657
43	30	656
44	30	654
45	31	653
46	32	652
47	32	652
48	33	651
49	34	649
50	34	649
51	35	648
52	36	647
53	36	647
54	37	645
55	38	644
56	38	642
57	39	641
58	40	641
59	40	640
60	41	639
61	42	642
62	43	644
63	44	644
64	44	643
65	45	642
66	46	641
67	46	640
68	47	639
69	48	638
70	48	638
71	49	637
72	50	636
73	50	636
74	51	636
75	52	635
76	52	634
77	53	634
78	54	633
79	54	632
80	55	631
81	56	631
82	56	626
83	57	626
84	58	626
85	58	626
86	59	625
87	60	624
88	60	624
89	61	623
90	62	622
91	62	621
92	63	620
93	64	619
94	64	618
95	65	617
96	66	616
97	66	615
98	67	614
99	68	614
100	68	613
101	69	612
102	70	611
103	70	611
104	71	610
105	72	610
106	73	609
107	73	609
108	74	609
109	75	608
110	75	607
111	76	606
112	77	605
113	77	603
114	78	602
115	78	601
116	79	599
117	80	598
118	80	597
119	81	596
120	81	595
121	82	593
122	83	592
123	83	591
124	84	590
125	85	590
126	85	588
127	86	587
128	86	587
129	87	586
130	88	586
131	89	585
132	89	585
133	90	584
134	91	583
135	91	582
136	92	581
137	92	580
138	93	579
139	94	578
140	94	577
141	95	574
142	95	573
143	96	572
144	96	571
145	97	570
146	98	569
147	98	568
148	99	567
149	100	567
150	100	566
151	101	565
152	101	564
153	102	564
154	103	564
155	104	564
156	104	563
157	105	562
158	106	561
159	107	563
160	107	561
161	108	560
162	108	559
163	109	558
164	110	557
165	110	557
166	111	556
167	112	555
168	112	554
169	113	553
170	113	552
171	114	551
172	115	550
173	115	550
174	116	549
175	117	548
176	117	548
177	118	548
178	119	548
179	120	548
180	121	548
181	122	548
182	122	547
183	123	547
184	124	546
185	124	545
186	125	544
187	125	544
188	126	543
